dept,description,bad_upcs,price,candidates,note
1001,12 oz Celcius Peach Mgo,00000883920100;00008839201001,3.19,00852480007112 '16 oz Celcius blue crush' $3.49 | 00889392001341 '12 oz Celcius Astro Vibe' $3.19 | 00889392001396 '12 oz Celcius BLRAZ Lem' $3.19 | 00889392001549 '12 oz Celcius Kiwi Strwbry' $3.19 | 00889392001563 '12 oz Celcius Wtmn lmd' $3.19 | 00889392001709 '12 oz Celcius Chr Cola' $3.19 | 00889392001785 '12 oz Celcius Mgo Lem' $3.19 | 00889392002355 '12 oz Celcius FF PNK Lem' $3.19 | 00889392002379 '12 oz Celcius FF Drft LME' $3.19,no barcode-derived twin; brand/price candidates listed
1000,Barilla Pasta,00000980175286;00009801752866,2.49,00076808280098 'BARILLA PASTA- SPAGHETTI' $2.49,no barcode-derived twin; brand/price candidates listed
1013,Ruffles Orginal 15 oz,00000990291758;00009902917584,7.89,00028400720236 'RUFFLES POTATO CHIPS LG' $7.99 | 00028400720243 'RUFFLES QUESO LRG' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Ruffles Queso,00000990291824;00009902918246,7.89,00028400720236 'RUFFLES POTATO CHIPS LG' $7.99 | 00028400720243 'RUFFLES QUESO LRG' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Tostito Bites,00000990291861;00009902918611,7.89,00028400055987 'TOSTITOS SALSA MED' $8.19 | 00028400070980 'TOSTITOS QUESO' $8.19 | 00028400721370 'TOSTITOS LRG' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Baked Lays 15oz,00000990292127;00009902921277,7.89,00028400720250 'BAKED LAYS 110Z' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Lays BBQ 15 oz,00000990292128;00009902921284,7.89,00028400070942 'LAYS FRENCH ONION DIP' $8.19 | 00028400720168 'LAYS BBQ LRG' $7.99 | 00028400720199 'LAYS SC &amp; ONION LRG' $7.99 | 00028400720205 'LAYS LIMON LRG' $7.99 | 00028400720250 'BAKED LAYS 110Z' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Lays Orginal 15 oz,00000990292134;00009902921345,7.89,00028400070942 'LAYS FRENCH ONION DIP' $8.19 | 00028400720168 'LAYS BBQ LRG' $7.99 | 00028400720199 'LAYS SC &amp; ONION LRG' $7.99 | 00028400720205 'LAYS LIMON LRG' $7.99 | 00028400720250 'BAKED LAYS 110Z' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Lays Limon,00000990292136;00009902921369,7.89,00028400070942 'LAYS FRENCH ONION DIP' $8.19 | 00028400720168 'LAYS BBQ LRG' $7.99 | 00028400720199 'LAYS SC &amp; ONION LRG' $7.99 | 00028400720205 'LAYS LIMON LRG' $7.99 | 00028400720250 'BAKED LAYS 110Z' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Dorito NACF,00000990292151;00009902921512,7.89,00028400720298 'DORITIOS NACHO CHEESE LG' $7.99 | 00028400720304 'COOL RANCH DORITOS LG' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Dorito CLRNF,00000990292158;00009902921581,7.89,00028400720298 'DORITIOS NACHO CHEESE LG' $7.99 | 00028400720304 'COOL RANCH DORITOS LG' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Cheetos CRCHF,00000990292195;00009902921956,7.89,00028400174459 'CHEETO PUFFS LRG' $7.99 | 00028400720984 'CHEETOS CRUNCY LRG' $7.99 | 00028400721028 'CHEETOS 17 0Z FLAMIN HOT' $7.99 | 00028400721035 'FLAMING HOT CHEETOS LIMON' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Cheetos Flaming Hot,00000990292217;00009902922175,7.89,00028400047913 'Cheetos Flaming Hot' $1.09,"exact name, price differs (size collision?)"
1013,Cheetos Limon,00000990292218;00009902922182,7.89,00028400174459 'CHEETO PUFFS LRG' $7.99 | 00028400720984 'CHEETOS CRUNCY LRG' $7.99 | 00028400721028 'CHEETOS 17 0Z FLAMIN HOT' $7.99 | 00028400721035 'FLAMING HOT CHEETOS LIMON' $7.99,no barcode-derived twin; brand/price candidates listed
1013,Chesters Fries,00000990341730;00009903417304,7.89,"00028400747721 'CHESTER""S HOT FRIES LRG' $7.99",no barcode-derived twin; brand/price candidates listed
